trial_id,scenario,ground_truth,diagnosed_target,t0_epoch,mttdiag_seconds,accuracy,censored
1,vanilla,currency,inconclusive,2026-09-07T22:01:15Z,300.0,0,True
2,vanilla,payment,inconclusive,2026-09-07T22:06:36Z,300.0,0,True
3,vanilla,cart,inconclusive,2026-09-07T22:11:57Z,300.0,0,True
4,vanilla,currency,inconclusive,2026-09-07T22:17:17Z,300.0,0,True
5,vanilla,shipping,frontend,2026-09-07T22:22:40Z,17.02,0,False
6,vanilla,payment,inconclusive,2026-09-07T22:23:17Z,300.0,0,True
7,vanilla,currency,inconclusive,2026-09-07T22:28:39Z,300.0,0,True
8,vanilla,currency,inconclusive,2026-09-07T22:34:04Z,300.0,0,True
9,vanilla,currency,inconclusive,2026-09-07T22:39:26Z,300.0,0,True
10,vanilla,currency,inconclusive,2026-09-07T22:44:47Z,300.0,0,True
11,vanilla,shipping,shipping,2026-09-07T22:50:08Z,10.42,1,False
12,vanilla,shipping,shipping,2026-09-07T22:50:38Z,17.19,1,False
13,vanilla,payment,inconclusive,2026-09-07T22:51:16Z,300.0,0,True
14,vanilla,shipping,shipping,2026-09-07T22:56:37Z,10.55,1,False
15,vanilla,cart,inconclusive,2026-09-07T22:57:08Z,300.0,0,True
16,vanilla,shipping,shipping,2026-09-07T23:02:31Z,16.59,1,False
17,vanilla,currency,inconclusive,2026-09-07T23:03:08Z,300.0,0,True
18,vanilla,payment,inconclusive,2026-09-07T23:08:30Z,300.0,0,True
19,vanilla,payment,inconclusive,2026-09-07T23:13:51Z,300.0,0,True
20,vanilla,currency,inconclusive,2026-09-07T23:19:13Z,300.0,0,True
21,vanilla,cart,inconclusive,2026-09-07T23:24:34Z,300.0,0,True
22,vanilla,cart,inconclusive,2026-09-07T23:29:58Z,300.0,0,True
23,vanilla,currency,inconclusive,2026-09-07T23:35:20Z,300.0,0,True
24,vanilla,payment,inconclusive,2026-09-07T23:40:45Z,300.0,0,True
25,vanilla,currency,inconclusive,2026-09-07T23:46:08Z,300.0,0,True
26,vanilla,cart,inconclusive,2026-09-07T23:51:29Z,300.0,0,True
27,vanilla,shipping,shipping,2026-09-07T23:56:54Z,10.49,1,False
28,vanilla,currency,inconclusive,2026-09-07T23:57:25Z,300.0,0,True
29,vanilla,currency,inconclusive,2026-09-08T00:02:46Z,300.0,0,True
30,vanilla,currency,inconclusive,2026-09-08T00:08:07Z,300.0,0,True
